U[V]	Imean[uA]	Isem[uA]
0.0	-0.00017509677000000003	0.00034093273559646244
-2.0	-0.0009557814239999999	0.0003618703867798489
-4.0	-0.00065892799	0.00037281240409088806
-6.0	-0.0008621796000000001	0.00033497292421085726
-8.0	-0.0011967816700000002	0.0004564977579052624
-10.0	-0.00107858391	0.0004280137161809782
-12.0	-0.0009568666829999999	0.0004500763489066723
-14.0	-0.0016176242069999998	0.00041129105240457036
-16.0	-0.00170908385	0.000430331450393179
-18.0	-0.0026664027	0.00018322032451790265
-20.0	-0.0018251335049999998	0.00038717147251832504
-22.0	-0.00236504619	0.0004051837160367612
-24.0	-0.0021515261	0.0004068494006147969
-26.0	-0.0018393277100000002	0.0002953711123623073
-28.0	-0.0012936260700000001	0.0003878181535148661
-30.0	-0.0016137942000000003	0.00021478095282251536
-32.0	-0.0029396888000000005	0.00035982214151129344
-34.0	-0.00302595003	0.000319564234349578
-36.0	-0.0024722009099999998	0.00042372466739842764
-38.0	-0.0025034795	0.00026817702036682376
-40.0	-0.00274255885	0.00033866280448329296
-42.0	-0.0020485677	0.0003329583335462745
-44.0	-0.0033122206	0.0003143589566144339
-46.0	-0.0021833352	0.00035087976698730034
-48.0	-0.0027583877	0.000468816855623744
-50.0	-0.0030841034000000005	0.00048825187040352225
-52.0	-0.0032673749000000003	0.0003738298869823145
-54.0	-0.004154327	0.0003329085668998154
-56.0	-0.0034610185000000003	0.0003943330948290417
-58.0	-0.0031612964	0.0004056965437399733
-60.0	-0.0045987211	0.00035299853595281694
-62.0	-0.0032995960999999997	0.0003654449041858263
-64.0	-0.0048059796	0.00045566817737009263
-66.0	-0.005216307000000001	0.00033212902015993716
-68.0	-0.0049979146	0.0003986593044695684
-70.0	-0.0050692733	0.00047278843004538393
-72.0	-0.0053703601999999994	0.00033584491081839804
-74.0	-0.0046726332999999995	0.00038562872479639006
-76.0	-0.0057819121	0.0003526982778757204
-78.0	-0.0050329021	0.00047557906391839717
-80.0	-0.005027641	0.00027255644382969345
-82.0	-0.00518421	0.00034396482172764897
-84.0	-0.006025467599999999	0.0004223477590246428
-86.0	-0.0065892516	0.00023798546665328586
-88.0	-0.006781484	0.00033610353721028676
-90.0	-0.00676732	0.00033024205911223487
-92.0	-0.006793254500000001	0.0004809487121837478
-94.0	-0.0071101573	0.0004701029681496987
-96.0	-0.007777740600000001	0.0003168369340976241
-98.0	-0.007175611600000001	0.00039379716374623905
-100.0	-0.0080388418	0.00023644622994531143
