
"TESTER","4000Plus","20001013"
"DATE","10/09/2018"
"TIME","14:05:32"
"TESTGROUP","Destructive Wire Pull"
"Batch","G3 Dummy Pull strength analysis"
"Product","FEI4B Quad Glass"
"Bonder","bj820"
"Serial Number",""
"Pattern Number",""
"USERFIELD6",""
"USERFIELD7",""
"USERFIELD8",""
"USERFIELD9",""
"USERFIELD10",""
"OPERATOR","Default operator"
"LOADUNIT","g"
"CARTRIDGE","25 g","20397512","Wire Pull"
"TESTTYPE","Destruct"
"TESTSPEED",300,"um/s"
"TESTLOAD",15,"g"
"MAXTESTLOAD",25,"g"
"FALLBACK",30,"%"
"TEST",1,"1",10.525,0.021440,"0","r1 20g"

"TESTER","4000Plus","20001013"
"DATE","10/09/2018"
"TIME","14:05:32"
"TESTGROUP","Destructive Wire Pull"
"Batch","G3 Dummy Pull strength analysis"
"Product","FEI4B Quad Glass"
"Bonder","bj820"
"Serial Number",""
"Pattern Number",""
"USERFIELD6",""
"USERFIELD7",""
"USERFIELD8",""
"USERFIELD9",""
"USERFIELD10",""
"OPERATOR","Default operator"
"LOADUNIT","g"
"CARTRIDGE","25 g","20397512","Wire Pull"
"TESTTYPE","Destruct"
"TESTSPEED",300,"um/s"
"TESTLOAD",15,"g"
"MAXTESTLOAD",25,"g"
"FALLBACK",30,"%"
"TEST",2,"1",10.481,0.021352,"0","r1 20g"

"TESTER","4000Plus","20001013"
"DATE","10/09/2018"
"TIME","14:05:32"
"TESTGROUP","Destructive Wire Pull"
"Batch","G3 Dummy Pull strength analysis"
"Product","FEI4B Quad Glass"
"Bonder","bj820"
"Serial Number",""
"Pattern Number",""
"USERFIELD6",""
"USERFIELD7",""
"USERFIELD8",""
"USERFIELD9",""
"USERFIELD10",""
"OPERATOR","Default operator"
"LOADUNIT","g"
"CARTRIDGE","25 g","20397512","Wire Pull"
"TESTTYPE","Destruct"
"TESTSPEED",300,"um/s"
"TESTLOAD",15,"g"
"MAXTESTLOAD",25,"g"
"FALLBACK",30,"%"
"TEST",3,"3",9.4501,0.019252,"0","r1 20g"

"TESTER","4000Plus","20001013"
"DATE","10/09/2018"
"TIME","14:05:32"
"TESTGROUP","Destructive Wire Pull"
"Batch","G3 Dummy Pull strength analysis"
"Product","FEI4B Quad Glass"
"Bonder","bj820"
"Serial Number",""
"Pattern Number",""
"USERFIELD6",""
"USERFIELD7",""
"USERFIELD8",""
"USERFIELD9",""
"USERFIELD10",""
"OPERATOR","Default operator"
"LOADUNIT","g"
"CARTRIDGE","25 g","20397512","Wire Pull"
"TESTTYPE","Destruct"
"TESTSPEED",300,"um/s"
"TESTLOAD",15,"g"
"MAXTESTLOAD",25,"g"
"FALLBACK",30,"%"
"TEST",4,"1",10.997,0.022403,"0","r1 20g"

"TESTER","4000Plus","20001013"
"DATE","10/09/2018"
"TIME","14:05:32"
"TESTGROUP","Destructive Wire Pull"
"Batch","G3 Dummy Pull strength analysis"
"Product","FEI4B Quad Glass"
"Bonder","bj820"
"Serial Number",""
"Pattern Number",""
"USERFIELD6",""
"USERFIELD7",""
"USERFIELD8",""
"USERFIELD9",""
"USERFIELD10",""
"OPERATOR","Default operator"
"LOADUNIT","g"
"CARTRIDGE","25 g","20397512","Wire Pull"
"TESTTYPE","Destruct"
"TESTSPEED",300,"um/s"
