Serial numbering for all 3 batches of 3.8s,Date Processed,Flavour,Status,Location,Destination,Number (in silkscreen),Batch,Scans taken?,Shorts on capacitors?,mass (g),hv cap height (mm),connector height (mm),top cu thickness (microns),bot cu thickness (microns),SLDO 1 (kOhms),SLDO 2,SLDO3,SLDO4,Vin drop (V),GND Drop (V),HV leakage (mV on readout card),NTC reading,Temp (°C) (@HV test),humidity (%) (@HV test),Vin drop with jig compensation,GND drop with jig compensation
20UPGPQ0021001,11/08/2020,Thin,PASS,Japan,,1,1,yes,not tested,1.595,1.85,1.47,24,27,"1.1497,231.699,1.0697,225.600","1.1497,231.691,1.0696,225.657","1.1497,231.697,1.0697,225.588","1.1497,231.842,1.0699,225.590",0.03,0.07,not tested,1.4,24.1,52,0.022,0.059
20UPGPQ0023001,12/08/2020,Thin,FAIL,Glasgow,,1,3,yes,not tested,1.589,not tested,not tested,26,26,,,,,not tested,not tested,not tested,1.4,22,52,#VALUE!,#VALUE!
20UPGPQ0021002,11/08/2020,Thin,PASS,Japan,,2,1,yes,not tested,1.635,1.83,1.42,24,27,"1.1497,231.675,1.0694,225.525","1.1497,231.778,1.0699,225.576","1.1497,231.572,1.0697,225.661","1.1509,231.804,1.0697,225.823",0.03,0.02,not tested,1.4,24.1,52,0.022,0.009
20UPGPQ0023002,12/08/2020,Thin,,Edinburgh,,2,3,yes,no,1.613,not tested,not tested,27,26,,,,,0.561,0.33,24,1.34,22,52,0.553,0.319
20UPGPQ0021003,12/08/2020,Thin,PASS,Japan,,3,1,yes,not tested,1.613,1.89,1.43,28,27,"1.1495,231.644,1.0695,225.581","1.1497,231.588,1.0697,225.674","1.1495,231.636,1.0695,225.759","1.1495,231.540,1.0698,225.664",0.04,0.06,not tested,1.4,24.1,52,0.032,0.049
20UPGPQ0023003,12/08/2020,Thin,,Glasgow,,3,3,yes,no,1.593,not tested,not tested,27,26,,,,,0.383,0.16,114.18,1.4,22,52,0.375,0.149
20UPGPQ0021004,12/08/2020,Thin,PASS,Japan,,4,1,yes,not tested,1.652,1.91,1.4,26,28,"1.1492,231.666,1.0698,225.568","1.149,231.604,1.0698,225.549","1.1496,231.700,1.0698,225.554","1.1493,231.685,1.0697,225.367",0.03,0.11,not tested,1.4,24.1,52,0.022,0.099
20UPGPQ0023004,12/08/2020,Thin,Fail,Glasgow,,4,3,yes,not tested,1.611,not tested,not tested,27,25,,,,,0.439,0.31,16,1.34,22,52,0.431,0.299
20UPGPQ0021005,12/08/2020,Thin,PASS,Japan,,5,1,yes,not tested,1.678,1.72,1.47,27,28,"1.15,231.4,1.07,225.4","1.15,231.5,1.07,225.5","1.15,231.5,1.07,225.5","1.15,231.2,1.07,225.3",0.277,0.265,not tested,1.295,24.4,55,0.269,0.254
20UPGPQ0021006,12/08/2020,Thin,PASS,Japan,,6,1,yes,not tested,1.671,1.68,1.46,27,29,"1.15,231.5,1.07,225.4","1.149,231.5,1.069,225.5","1.149,231.4,1.07,225.4","1.149,231.5,1.071,225.4",0.28,0.26,not tested,1.29,24.4,55,0.272,0.249
20UPGPQ0021007,12/08/2020,Thin,PASS,Japan,,7,1,yes,not tested,1.692,1.73,1.51,26,30,"1.149,231.4,1.07,225.5","1.15,231.5,1.069,225.4","1.15,231.4,1.07,225.6","1.15,231.4,1.07,225.4",0.279,0.25,not tested,1.3,24.4,55,0.271,0.239
20UPGPQ0021008,12/08/2020,Thin,PASS,Japan,,8,1,yes,not tested,1.689,1.67,1.49,28,27,"1.15,231.4,1.07,225.5","1.15,231.4,1.07,225.5","1.15,231.6,1.07,225.5","1.149,231.4,1.07,225.4",0.269,0.24,not tested,1.31,24.2,55,0.261,0.229
20UPGPQ0021009,12/08/2020,Thin,PASS,Japan,,9,1,yes,not tested,1.58,1.65,1.47,25,25,"1.15,231.6,1.071,225.6","1.15,231.4,1.07,225.6","1.151,231.4,1.07,225.5","1.15,231.3,1.07,225.4",0.29,0.299,not tested,1.26,24.2,55,0.282,0.288
20UPGPQ0023009,12/08/2020,Thin,,Edinburgh,,9,3,yes,no,1.599,not tested,not tested,28,29,,,,,0.55,0.34,23,1.36,22,55,0.542,0.329
20UPGPQ0021010,12/08/2020,Thin,PASS,Japan,,10,1,yes,not tested,1.599,1.68,1.53,25,25,"1.149,231.5,1.07,225.5","1.15,231.4,1.07,225.4","1.15,231.5,1.07,225.5","1.149,231.5,1.07,225.4",0.29,0.299,not tested,1.28,24.2,55,0.282,0.288
20UPGPQ0023010,08/09/2020,Thin,,Edinburgh,,10,3,yes,no,1.607,not tested,not tested,27,28,,,,,0.444,0.22,94.91,1.5,22,55,0.436,0.209
20UPGPQ0021011,12/08/2020,Thin,PASS,Japan,,11,1,yes,not tested,1.55,1.62,1.44,24,25,"1.15,231.4,1.07,225.4","1.15,231.5,1.07,225.3","1.15,231.4,1.07,225.4,1.15,231.31.07,225.5",,0.36,0.32,not tested,1.26,24.5,52,0.352,0.309
20UPGPQ0023011,08/09/2020,Thin,,Edinburgh,,11,3,yes,reworked,1.583,not tested,not tested,26,26,,,,,0.414,0.2,31.77,1.39,22,52,0.406,0.189
20UPGPQ0021012,12/08/2020,Thin,PASS,Japan,,12,1,yes,not tested,1.578,1.6,1.43,25,23,"1.15,231.5,1.07,225.6","1.15,231.6,1.07,225.6","1.15,231.6,1.069,225.4","1.149,231.6,1.07,225.5",0.299,0.31,not tested,1.3,24.5,52,0.291,0.299
20UPGPQ0023012,08/09/2020,Thin,,Edinburgh,,12,3,yes,no,1.595,not tested,not tested,27,27,,,,,0.364,0.22,91.66,1.47,22,52,0.356,0.209
20UPGPQ0021013,12/08/2020,Thin,PASS,Japan,,13,1,yes,not tested,1.618,1.73,1.47,29,26,"1.149,231.5,1.07,225.4","1.149,231.4,1.069,225.3","1.150,231.4,1.07,225.4","1.150,231.5,1.07,225.3",0.269,0.26,not tested,1.3,24.4,55,0.261,0.249
20UPGPQ0023013,23/09/2020,Thin,,US,,13,3,yes,no,1.602,not tested,not tested,24,21,,,,,0.293,0.21,80.52,1.35,22,55,0.285,0.199
20UPGPQ0021014,13/08/2020,Thin,PASS,Japan,,14,1,yes,no,1.61,1.68,1.5,27,23,"1.15,231.4,1.07,225.4","1.15,231.5,1.07,225.4,1.15,231.5,1.07,225.5",,"1.149,231.4,1.07,225.5",0.279,0.31,not tested,1.27,24.1,54,0.271,0.299
20UPGPQ0023014,23/09/2020,Thin,,Argonne,,14,3,yes,not tested,1.603,not tested,not tested,25,24,,,,,0.303,0.14,71.5,1.37,22,55,0.295,0.129
20UPGPQ0021015,13/08/2020,Thin,PASS,Japan,,15,1,yes,not tested,1.603,1.72,1.45,28,26,"1.15,231.5,1.07,225.5","1.149,231.5,1.07,225.3","1.15,231.5,1.07,225.5","1.15,231.4,1.07,225.5",0.279,0.27,not tested,1.29,24.1,55,0.271,0.259
20UPGPQ0021016,13/08/2020,Thin,PASS,Japan,,16,1,yes,not tested,1.595,1.72,1.5,26,23,"1.149,231.6,1.07,225.5","1.15,231.5,1.07,225.5","1.150,231.5,1.07,225.5,1.150,231.6,1.07,225.5",,0.31,0.27,not tested,1.31,24.2,55,0.302,0.259
20UPGPQ0023016,23/09/2020,Thin,,Edinburgh,,16,3,yes,no,1.595,not tested,not tested,25,26,,,,,0.303,0.14,65.26,1.47,22,55,0.295,0.129
