20UPGS85300041	IV
University of Glasgow	2020-10-05_14:35
prefix A
depletion_voltage 9
24.50	45.80
t/s	U/V	Iavg/uA	Istd/uA	T/C	RH/%
0	0	-1.50E-08	2.32E-09	24.5	45.7
10	1	5.89E-07	2.09E-09	24.5	45.8
20	2	8.47E-07	1.28E-10	24.5	45.8
30	3	1.20E-06	1.34E-10	24.5	45.8
40	4	1.50E-06	1.36E-10	24.5	45.7
50	5	1.70E-06	1.45E-10	24.5	45.8
60	6	1.85E-06	1.48E-10	24.5	45.8
70	7	1.97E-06	1.40E-10	24.5	45.8
80	8	2.08E-06	1.35E-10	24.5	45.8
90	9	2.19E-06	1.17E-10	24.5	45.8
100	10	2.30E-06	1.21E-10	24.5	45.8
110	11	2.40E-06	1.13E-10	24.5	45.8
120	12	2.50E-06	1.01E-10	24.5	45.8
130	13	2.60E-06	9.40E-11	24.5	45.8
140	14	2.69E-06	9.98E-11	24.5	45.8
150	15	2.78E-06	1.12E-10	24.5	45.7
160	16	2.86E-06	1.14E-10	24.5	45.8
170	17	2.94E-06	9.09E-11	24.5	45.8
180	18	3.01E-06	8.58E-11	24.5	45.8
190	19	3.09E-06	1.03E-10	24.5	45.8
200	20	3.16E-06	1.50E-10	24.5	45.8
210	21	3.24E-06	1.68E-10	24.5	45.8
220	22	3.32E-06	1.21E-10	24.5	45.7
230	23	3.39E-06	9.89E-11	24.5	45.7
240	24	3.47E-06	9.81E-11	24.6	45.8
250	25	3.55E-06	1.70E-10	24.6	45.8
260	26	3.62E-06	1.85E-10	24.6	45.7
270	27	3.70E-06	1.89E-10	24.5	45.7
280	28	3.76E-06	2.52E-10	24.6	45.7
290	29	3.83E-06	3.57E-10	24.6	45.8
300	30	3.88E-06	2.66E-10	24.6	45.7
310	31	3.93E-06	3.74E-10	24.5	45.7
320	32	3.98E-06	4.69E-10	24.5	45.8
330	33	4.02E-06	3.42E-10	24.6	45.8
340	34	4.07E-06	5.50E-10	24.5	45.7
350	35	4.12E-06	3.56E-10	24.5	45.7
360	36	4.17E-06	3.79E-10	24.5	45.7
370	37	4.22E-06	3.09E-10	24.5	45.8
380	38	4.26E-06	5.68E-10	24.6	45.8
390	39	4.31E-06	5.95E-10	24.6	45.7
400	40	4.35E-06	-6.88E-09	24.55961538	45.73538462
410	41	4.39E-06	-7.11E-09	24.56142589	45.73393996
420	42	4.44E-06	-7.34E-09	24.5632364	45.73249531
430	43	4.47E-06	-7.57E-09	24.5650469	45.73105066
440	44	4.51E-06	-7.80E-09	24.56685741	45.729606
450	45	4.55E-06	-8.03E-09	24.56866792	45.72816135
460	46	4.58E-06	-8.26E-09	24.57047842	45.7267167
470	47	4.62E-06	-8.49E-09	24.57228893	45.72527205
480	48	4.65E-06	-8.72E-09	24.57409944	45.72382739
490	49	4.69E-06	-8.95E-09	24.57590994	45.72238274
500	50	4.72E-06	-9.18E-09	24.57772045	45.72093809
510	51	4.75E-06	-9.41E-09	24.57953096	45.71949343
520	52	4.79E-06	-9.64E-09	24.58134146	45.71804878
530	53	4.82E-06	-9.87E-09	24.58315197	45.71660413
540	54	4.85E-06	-1.01E-08	24.58496248	45.71515947
550	55	4.89E-06	-1.03E-08	24.58677298	45.71371482
560	56	4.92E-06	-1.06E-08	24.58858349	45.71227017
570	57	4.95E-06	-1.08E-08	24.590394	45.71082552
580	58	4.98E-06	-1.10E-08	24.5922045	45.70938086
590	59	5.01E-06	-1.13E-08	24.59401501	45.70793621
600	60	5.04E-06	-1.15E-08	24.59582552	45.70649156
610	61	5.07E-06	-1.17E-08	24.59763602	45.7050469
620	62	5.10E-06	-1.19E-08	24.59944653	45.70360225
630	63	5.13E-06	-1.22E-08	24.60125704	45.7021576
640	64	5.16E-06	-1.24E-08	24.60306754	45.70071295
650	65	5.19E-06	-1.26E-08	24.60487805	45.69926829
660	66	5.22E-06	-1.29E-08	24.60668856	45.69782364
670	67	5.25E-06	-1.31E-08	24.60849906	45.69637899
680	68	5.27E-06	-1.33E-08	24.61030957	45.69493433
690	69	5.30E-06	-1.36E-08	24.61212008	45.69348968
700	70	5.33E-06	-1.38E-08	24.61393058	45.69204503
710	71	5.36E-06	-1.40E-08	24.61574109	45.69060038
720	72	5.39E-06	-1.42E-08	24.61755159	45.68915572
730	73	5.42E-06	-1.45E-08	24.6193621	45.68771107
740	74	5.45E-06	-1.47E-08	24.62117261	45.68626642
750	75	5.48E-06	-1.49E-08	24.62298311	45.68482176
760	76	5.52E-06	-1.52E-08	24.62479362	45.68337711
770	77	5.55E-06	-1.54E-08	24.62660413	45.68193246
780	78	5.58E-06	-1.56E-08	24.62841463	45.6804878
790	79	5.61E-06	-1.59E-08	24.63022514	45.67904315
800	80	5.65E-06	-1.61E-08	24.63203565	45.6775985
810	81	5.68E-06	-1.63E-08	24.63384615	45.67615385
820	82	5.72E-06	-1.65E-08	24.63565666	45.67470919
830	83	5.75E-06	-1.68E-08	24.63746717	45.67326454
840	84	5.79E-06	-1.70E-08	24.63927767	45.67181989
850	85	5.83E-06	-1.72E-08	24.64108818	45.67037523
860	86	5.86E-06	-1.75E-08	24.64289869	45.66893058
870	87	5.90E-06	-1.77E-08	24.64470919	45.66748593
880	88	5.94E-06	-1.79E-08	24.6465197	45.66604128
890	89	5.97E-06	-1.82E-08	24.64833021	45.66459662
900	90	6.01E-06	-1.84E-08	24.65014071	45.66315197
910	91	6.05E-06	-1.86E-08	24.65195122	45.66170732
920	92	6.09E-06	-1.88E-08	24.65376173	45.66026266
930	93	6.13E-06	-1.91E-08	24.65557223	45.65881801
940	94	6.18E-06	-1.93E-08	24.65738274	45.65737336
950	95	6.22E-06	-1.95E-08	24.65919325	45.65592871
960	96	6.26E-06	-1.98E-08	24.66100375	45.65448405
970	97	6.31E-06	-2.00E-08	24.66281426	45.6530394
980	98	6.35E-06	-2.02E-08	24.66462477	45.65159475
990	99	6.40E-06	-2.05E-08	24.66643527	45.65015009
1000	100	6.45E-06	-2.07E-08	24.66824578	45.64870544
1010	101	6.49E-06	-2.09E-08	24.67005629	45.64726079
1020	102	6.54E-06	-2.11E-08	24.67186679	45.64581614
1030	103	6.60E-06	-2.14E-08	24.6736773	45.64437148
1040	104	6.65E-06	-2.16E-08	24.6754878	45.64292683
1050	105	6.70E-06	-2.18E-08	24.67729831	45.64148218
1060	106	6.76E-06	-2.21E-08	24.67910882	45.64003752
1070	107	6.81E-06	-2.23E-08	24.68091932	45.63859287
1080	108	6.87E-06	-2.25E-08	24.68272983	45.63714822
1090	109	6.93E-06	-2.28E-08	24.68454034	45.63570356
1100	110	6.99E-06	-2.30E-08	24.68635084	45.63425891
1110	111	7.05E-06	-2.32E-08	24.68816135	45.63281426
1120	112	7.12E-06	-2.34E-08	24.68997186	45.63136961
1130	113	7.19E-06	-2.37E-08	24.69178236	45.62992495
1140	114	7.25E-06	-2.39E-08	24.69359287	45.6284803
1150	115	7.32E-06	-2.41E-08	24.69540338	45.62703565
1160	116	7.40E-06	-2.44E-08	24.69721388	45.62559099
1170	117	7.47E-06	-2.46E-08	24.69902439	45.62414634
1180	118	7.55E-06	-2.48E-08	24.7008349	45.62270169
1190	119	7.63E-06	-2.51E-08	24.7026454	45.62125704
1200	120	7.73E-06	-2.53E-08	24.70445591	45.61981238
1210	121	7.84E-06	-2.55E-08	24.70626642	45.61836773
1220	122	7.99E-06	-2.57E-08	24.70807692	45.61692308
1230	123	8.23E-06	-2.60E-08	24.70988743	45.61547842
1240	124	8.71E-06	-2.62E-08	24.71169794	45.61403377
1250	125	9.76E-06	-2.64E-08	24.71350844	45.61258912
1260	126	1.21E-05	-2.67E-08	24.71531895	45.61114447
1270	127	1.74E-05	-2.69E-08	24.71712946	45.60969981
1280	128	2.00E-05	-2.71E-08	24.71893996	45.60825516
