VPX12318-W644_IV_001.dat
Hamamatsu ATLAS12 VPX12318 W644
project: S
componentType: SENSOR
testType: SENSOR_IV
component: 20USBSL0000644
SENSOR_SN: ???
passed: true
problems: false
date: 01.02.2019
SENSOR_TT: 14:52
institution: 
runNumber: 20
SENSOR_MU: Keithley 2410
TEMP_S: 14.8
HUMIDITY_S: 6.4
%%SENSOR_VOLTAGE/%[V]	%%SENSOR_CURRENT/%[nA]
0000000.00	-000034.09
-000010.00	-000044.29
-000020.00	-000084.09
-000030.00	-000100.57
-000040.00	-000118.77
-000050.00	-000131.70
-000060.00	-000143.91
-000070.00	-000151.41
-000080.00	-000155.38
-000090.00	-000159.97
-000100.00	-000162.09
-000110.00	-000163.20
-000120.00	-000167.25
-000130.00	-000168.35
-000140.00	-000170.64
-000150.00	-000169.46
-000160.00	-000170.40
-000170.00	-000171.66
-000180.00	-000174.80
-000190.00	-000174.48
-000200.00	-000178.11
-000210.00	-000177.75
-000220.00	-000179.20
-000230.00	-000182.16
-000240.00	-000183.08
-000250.00	-000185.25
-000260.00	-000186.66
-000270.00	-000187.42
-000280.00	-000188.93
-000290.00	-000191.20
-000300.00	-000190.10
-000310.00	-000191.39
-000320.00	-000194.24
-000330.00	-000198.32
-000340.00	-000198.44
-000350.00	-000202.83
-000360.00	-000204.85
-000370.00	-000204.64
-000380.00	-000208.13
-000390.00	-000210.16
-000400.00	-000218.67
-000410.00	-000325.22
-000420.00	-001280.53
-000430.00	-003121.64
-000440.00	-005502.01
-000450.00	-009334.55
-000460.00	-013743.34
-000470.00	-018366.76
-000480.00	-023190.08
-000490.00	-036392.50
-000500.00	-050184.95
-000500.00	-050185.95
-000500.00	-050186.95
