VPX14757-W773_Stability_001.dat
Hamamatsu ATLAS12 VPX14757 W773
project: S
componentType: SENSOR
testType: SENSOR_STABILITY
SENSOR_ST_SN: ???
component: 20USBSL0000773
date: 07.05.2019
TIME: 14:55:10
institution:
passed: false
problems: false
runNumber: 12
SENSOR_STA_LEN: 40h
SENSOR_STA_SETV: -500V
SENSOR_STA_MU: Keithley 2410
4 2643 (Not sure what this is, but this is ignored since no colon)
%%SENSOR_STA_TIME/%[s] %%SENSOR_STA_TEMP/%[�C] %%SENSOR_STA_HUM/%[%] %%SENSOR_STA_CURRENT/%[nA]
0000000.00 0000000.93 0000014.31 -000443.78
0000031.00 0000020.93 0000014.31 -000443.21
0000061.00 0000020.95 0000014.24 -000442.49
0000092.00 0000020.95 0000014.24 -000442.36
0000122.00 0000020.96 0000014.17 -000442.21
0000153.00 0000020.95 0000014.17 -000442.28
0000183.00 0000020.95 0000014.13 -000442.08
0000213.00 0000020.95 0000014.10 -000441.81
0000244.00 0000020.95 0000014.03 -000442.03
0000274.00 0000020.96 0000014.03 -000441.75
0000305.00 0000020.96 0000013.99 -000441.77
0000335.00 0000020.98 0000013.96 -000441.57
0000366.00 0000020.98 0000013.96 -000441.29
0000396.00 0000020.98 0000013.89 -000441.28
0000426.00 0000020.98 0000013.89 -000441.12
0000457.00 0000020.98 0000013.82 -000441.18
0000487.00 0000021.00 0000013.82 -000440.94
0000518.00 0000021.00 0000013.75 -000441.02
0000548.00 0000021.00 0000013.75 -000440.89
0000579.00 0000020.98 0000013.75 -000440.47
0000609.00 0000020.95 0000013.71 -000440.51
0000640.00 0000020.94 0000013.68 -000440.18
0000700.00 0000020.87 0000013.68 -000439.84
0000731.00 0000020.85 0000013.60 -000439.66
0000761.00 0000020.82 0000013.60 -000439.66
0000792.00 0000020.81 0000013.60 -000439.19
0000822.00 0000020.78 0000013.53 -000439.02
0000883.00 0000020.74 0000013.46 -000438.72
0000913.00 0000020.72 0000013.46 -000438.48
0000975.00 0000020.69 0000013.39 -000438.06
0001035.00 0000020.68 0000013.32 -000437.73
0001096.00 0000020.67 0000013.25 -000437.79
0001127.00 0000020.67 0000013.25 -000437.36
0001157.00 0000020.68 0000013.18 -000437.35
0001218.00 0000020.68 0000013.18 -000437.31
0001309.00 0000020.70 0000013.04 -000436.75
0001370.00 0000020.72 0000013.00 -000436.65
0001401.00 0000020.72 0000012.97 -000436.45
0001431.00 0000020.72 0000012.93 -000436.38
0001492.00 0000020.73 0000012.90 -000436.68
0001583.00 0000020.74 0000012.83 -000436.27
0001614.00 0000020.76 0000012.76 -000436.14
0001644.00 0000020.76 0000012.76 -000436.05
0001705.00 0000020.78 0000012.69 -000436.21
0001766.00 0000020.80 0000012.69 -000435.82
0001827.00 0000020.81 0000012.62 -000435.71
0001888.00 0000020.78 0000012.55 -000435.63
0001918.00 0000020.75 0000012.55 -000435.35
0001949.00 0000020.76 0000012.55 -000435.12
0001979.00 0000020.73 0000012.48 -000434.91
0002010.00 0000020.69 0000012.48 -000434.95
0002040.00 0000020.66 0000012.48 -000434.70
0002070.00 0000020.65 0000012.41 -000434.39
0002101.00 0000020.62 0000012.37 -000434.47
0002162.00 0000020.58 0000012.26 -000433.91
0002192.00 0000020.56 0000012.26 -000433.87
0002253.00 0000020.54 0000012.19 -000433.63
0002344.00 0000020.54 0000012.12 -000433.02
0002375.00 0000020.53 0000012.08 -000432.91
0002405.00 0000020.54 0000012.05 -000432.94
0002466.00 0000020.54 0000012.05 -000432.78
0002557.00 0000020.56 0000012.05 -000432.66
0002649.00 0000020.58 0000011.98 -000432.21
0002709.00 0000020.60 0000011.98 -000432.13
0002740.00 0000020.62 0000011.98 -000432.08
0002801.00 0000020.64 0000011.91 -000431.88
0002862.00 0000020.64 0000011.88 -000431.81
0002953.00 0000020.69 0000011.85 -000431.89
0003014.00 0000020.70 0000011.78 -000431.47
0003044.00 0000020.70 0000011.78 -000431.54
0003105.00 0000020.73 0000011.71 -000431.60
0003166.00 0000020.74 0000011.71 -000431.27
0003227.00 0000020.70 0000011.64 -000431.23
0003288.00 0000020.66 0000011.56 -000430.58
0003318.00 0000020.64 0000011.56 -000430.98
0003379.00 0000020.60 0000011.46 -000430.90
0003410.00 0000020.57 0000011.42 -000430.30
0003440.00 0000020.56 0000011.35 -000430.20
0003471.00 0000020.54 0000011.35 -000429.99
0003501.00 0000020.54 0000011.28 -000429.97
0003562.00 0000020.50 0000011.21 -000429.53
0003592.00 0000020.48 0000011.13 -000429.35
0003653.00 0000020.48 0000011.10 -000429.06
0003745.00 0000020.48 0000011.06 -000428.97
0003897.00 0000020.51 0000011.07 -000428.49
0003988.00 0000020.52 0000011.07 -000428.37
0004049.00 0000020.56 0000011.07 -000428.32
0004140.00 0000020.58 0000011.07 -000428.30
0004201.00 0000020.59 0000011.00 -000428.11
0004232.00 0000020.60 0000011.00 -000428.18
0004292.00 0000020.65 0000011.00 -000428.30
0004384.00 0000020.66 0000010.93 -000428.35
0004536.00 0000020.72 0000010.93 -000428.12
0004658.00 0000020.66 0000010.86 -000427.76
0004688.00 0000020.64 0000010.79 -000427.72
0004749.00 0000020.60 0000010.79 -000427.58
0004780.00 0000020.59 0000010.72 -000427.49
0004810.00 0000020.56 0000010.72 -000426.99
0004841.00 0000020.55 0000010.64 -000426.76
0004871.00 0000020.54 0000010.57 -000426.86
0004901.00 0000020.52 0000010.57 -000426.70
0004932.00 0000020.50 0000010.50 -000426.44
