VPX14757-W773_Striptest_001.dat
Hamamatsu ATLAS12 VPX14757 W773
project: S
componentType: SENSOR
testType: SENSOR_STRIP_TEST
component: 20USBSL0000773
date: 06.06.2019
runNumber: 12
SENSOR_TEST_TT: 11:08:09
SENSOR_TEST_SN: ???
passed: false
problems: false
institution: GL
Full Strip Test - Segment	1
SENSOR_TEST_VB: -150
SENSOR_TEST_FREQ: 1
W-K6440B,
SENSOR_TEST_MU: Keithley 2410
SENSOR_TEST_TEMP: 19.1
SENSOR_TEST_HUMIDITY: 45.6
5: 1280
%%SENSOR_TEST_PPI/% %%SENSOR_TEST_CURRENT/% %%SENSOR_TEST_CAP/% %%SENSOR_TEST_RES/%
0000001.00 0000001.03 0000067.42 0000001.41
0000002.00 0000000.63 0000069.06 0000001.39
0000003.00 0000000.79 0000068.20 0000001.39
0000004.00 0000000.61 0000069.87 0000001.38
0000005.00 0000000.28 0000068.41 0000001.39
0000006.00 0000000.81 0000070.03 0000001.38
0000007.00 0000000.68 0000068.41 0000001.39
0000008.00 0000000.11 0000070.05 0000001.38
0000009.00 0000000.43 0000068.23 0000001.40
0000010.00 0000001.35 0000069.75 0000001.39
0000011.00 0000000.53 0000068.30 0000001.40
0000012.00 0000000.77 0000069.81 0000001.39
0000013.00 0000000.50 0000068.17 0000001.40
0000014.00 0000004.29 0000069.84 0000001.39
0000015.00 0000000.80 0000068.17 0000001.40
0000016.00 0000000.98 0000069.74 0000001.39
0000017.00 0000000.74 0000068.08 0000001.41
0000018.00 0000003.73 0000069.40 0000001.41
0000019.00 0000000.47 0000068.03 0000001.41
0000020.00 0000000.68 0000069.50 0000001.41
0000021.00 0000000.89 0000067.99 0000001.41
0000022.00 0000001.97 0000069.42 0000001.41
0000023.00 0000000.55 0000067.99 0000001.41
0000024.00 0000001.27 0000069.47 0000001.41
0000025.00 0000000.64 0000067.86 0000001.41
0000026.00 0000001.88 0000069.14 0000001.41
0000027.00 0000000.17 0000067.63 0000001.41
0000028.00 0000000.87 0000068.63 0000001.41
0000029.00 0000000.33 0000066.55 0000001.41
0000030.00 0000001.67 0000067.74 0000001.41
0000031.00 0000000.53 0000065.83 0000001.41
0000032.00 0000000.38 0000066.89 0000001.40
0000033.00 0000001.14 0000066.34 0000001.39
0000034.00 0000000.99 0000068.11 0000001.37
0000035.00 0000000.93 0000067.09 0000001.38
0000036.00 0000000.53 0000068.87 0000001.36
0000037.00 0000000.12 0000067.42 0000001.37
0000038.00 0000000.91 0000069.02 0000001.36
0000039.00 0000000.59 0000067.56 0000001.37
0000040.00 0000000.20 0000069.72 0000001.37
0000041.00 0000000.39 0000067.22 0000001.38
0000042.00 0000001.34 0000068.71 0000001.38
0000043.00 0000000.84 0000067.13 0000001.38
0000044.00 0000000.85 0000068.79 0000001.38
0000045.00 0000000.31 0000067.16 0000001.39
0000046.00 0000004.18 0000068.72 0000001.38
0000047.00 0000000.56 0000067.28 0000001.39
0000048.00 0000001.08 0000069.31 0000001.38
0000049.00 0000001.00 0000067.08 0000001.39
0000050.00 0000004.04 0000068.39 0000001.39
0000051.00 0000000.78 0000067.05 0000001.39
0000052.00 0000000.88 0000068.47 0000001.39
0000053.00 0000000.89 0000066.95 0000001.40
0000054.00 0000002.02 0000068.47 0000001.39
0000055.00 0000000.56 0000066.99 0000001.40
0000056.00 0000001.22 0000068.43 0000001.39
0000057.00 0000000.67 0000066.80 0000001.40
0000058.00 0000002.07 0000068.14 0000001.40
0000059.00 0000000.19 0000066.88 0000001.40
0000060.00 0000000.80 0000068.31 0000001.40
0000061.00 0000000.31 0000066.72 0000001.40
0000062.00 0000001.74 0000068.18 0000001.40
0000063.00 0000000.47 0000066.70 0000001.41
0000064.00 0000000.08 0000068.04 0000001.41
0000065.00 0000001.31 0000066.08 0000001.38
0000066.00 0000000.78 0000067.81 0000001.37
0000067.00 0000000.84 0000066.84 0000001.37
0000068.00 0000000.57 0000068.76 0000001.36
0000069.00 0000000.02 0000067.19 0000001.37
0000070.00 0000000.56 0000068.84 0000001.36
0000071.00 0000000.55 0000067.27 0000001.37
0000072.00 0000000.06 0000069.36 0000001.37
0000073.00 0000000.44 0000066.94 0000001.37
0000074.00 0000001.53 0000068.50 0000001.37
0000075.00 0000000.76 0000066.91 0000001.38
0000076.00 0000000.89 0000068.54 0000001.37
0000077.00 0000000.12 0000067.01 0000001.38
0000078.00 0000004.50 0000068.49 0000001.37
0000079.00 0000000.51 0000067.08 0000001.38
0000080.00 0000001.12 0000069.17 0000001.38
0000081.00 0000000.65 0000066.87 0000001.38
0000082.00 0000004.16 0000068.23 0000001.38
0000083.00 0000000.64 0000066.83 0000001.39
0000084.00 0000001.04 0000068.35 0000001.38
0000085.00 0000000.70 0000066.79 0000001.39
0000086.00 0000001.84 0000068.39 0000001.38
0000087.00 0000000.51 0000066.85 0000001.38
0000088.00 0000000.98 0000068.30 0000001.38
0000089.00 0000000.55 0000066.77 0000001.39
0000090.00 0000001.99 0000068.06 0000001.39
0000091.00 0000000.32 0000066.73 0000001.39
0000092.00 0000000.42 0000068.07 0000001.39
0000093.00 0000000.21 0000066.61 0000001.40
0000094.00 0000001.80 0000067.92 0000001.39
0000095.00 0000000.33 0000066.16 0000001.40
0000096.00 0000000.19 0000067.24 0000001.39
0000097.00 0000001.36 0000065.98 0000001.38
0000098.00 0000000.97 0000067.69 0000001.37
0000099.00 0000000.74 0000066.74 0000001.37
0000100.00 0000000.24 0000068.54 0000001.35
